region,council,ward,schoolName,regNumber,ownership,Agriculture_form3Students,agriculture_form3Books,basicMath_form3Students,bmath_form3Books,biology_form3Students,biology_form3Books,bkeeping_form3Students,bkeeping_form3Books,chemistry_form3Students,chemistry_form3Books,civics_form3Students,civics_form3Books,commerce_form3Students,commerce_form3Books,english_form3Students,english_form3Books,geography_form3Students,geography_form3Books,history_form3Students,history_form3Books,kiswahili_form3Students,kiswahili_form3Books,physics_form3Students,physics_form3Books
Arusha,Arusha,Bangata,BANG'ATA,S.906,Government,0,0,126,65,126,53,0,0,34,24,126,1,0,0,126,5,126,45,126,45,126,4,31,16
Arusha,Arusha,Bangata,SAKURA,S.4920,Non-Government,0,0,41,45,41,50,0,0,34,40,41,50,0,0,41,50,41,45,41,45,41,45,20,45
Arusha,Arusha,Bwawani,OLOKII,S.2499,Government,0,0,132,7,132,28,0,0,23,4,132,3,0,0,132,21,132,0,132,56,132,7,10,8
Arusha,Arusha,Ilkiding'a,ILKIDING'A,S.732,Government,0,0,314,18,314,26,0,0,40,9,314,18,0,0,314,22,314,28,314,19,314,27,40,8
Arusha,Arusha,Kimnyaki,KIMNYAKI,S.541,Government,0,0,246,109,246,48,0,0,97,46,246,6,0,0,246,83,246,82,246,83,246,113,31,56
Arusha,Arusha,Kiranyi,NGATEU,S.799,Non-Government,0,0,36,8,36,30,3,1,20,18,36,7,3,1,36,74,36,9,36,9,36,61,18,9
Arusha,Arusha,Kiranyi,TRUST PATRICK,S.1835,Non-Government,0,0,48,90,48,90,10,50,38,50,48,90,10,50,48,90,48,90,48,90,48,90,38,50
Arusha,Arusha,Kiranyi,WINNING SPIRIT,S.3560,Non-Government,0,0,39,25,39,19,10,3,29,14,39,12,10,4,39,25,39,16,39,12,39,18,29,15
Arusha,Arusha,Kisongo,EINOTI,S.647,Government,0,0,203,40,203,25,74,4,48,25,203,10,74,2,203,20,203,9,203,46,203,40,36,12
Arusha,Arusha,Kisongo,ELITE,S.3577,Non-Government,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
Arusha,Arusha,Kisongo,NEW LIFE,S.3975,Non-Government,0,0,9,8,9,7,9,8,9,6,9,4,9,7,9,7,9,8,9,8,9,5,9,6
Arusha,Arusha,Kisongo,ST. THADEUS,S.4418,Non-Government,0,0,50,32,50,25,18,40,34,41,50,45,18,33,50,44,50,36,50,49,50,27,34,28
Arusha,Arusha,Kisongo,ST. THERESA OF THE CHILD JESUS,S.3861,Non-Government,0,0,85,90,85,102,34,40,37,78,85,92,37,52,85,124,85,87,85,90,85,135,37,65
Arusha,Arusha,Kisongo,YAKINI,S.4968,Non-Government,0,0,37,14,37,15,12,14,17,10,37,20,12,23,37,23,37,38,37,38,37,38,17,7
Arusha,Arusha,Laroi,ARUSHA SCIENCE,S.5310,Non-Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arusha,Arusha,Laroi,OLJORO,S.802,Government,0,0,152,150,152,82,0,0,34,104,152,72,0,0,152,149,152,57,152,79,152,149,29,106
Arusha,Arusha,Lemanyata,CORNERSTONE LEADERSHIP,S.4472,Non-Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arusha,Arusha,Mateves,ASSALAF ISLAMIC,S.4883,Non-Government,0,0,37,21,37,28,12,7,18,9,37,16,12,8,37,88,37,15,37,10,37,64,18,11
Arusha,Arusha,Mateves,MATEVES,S.1926,Government,0,0,151,0,151,6,0,0,44,4,151,0,0,0,151,1,151,24,151,24,151,2,45,0
Arusha,Arusha,Mateves,ST.JOSEPH NGARENARO (GIRLS),S.224,Non-Government,0,0,58,40,58,30,0,0,30,30,58,30,0,0,58,55,58,40,58,40,58,53,24,25
Arusha,Arusha,Mlangarini,D'ALZON GIRLS,S.4100,Non-Government,0,0,39,119,39,65,9,20,20,43,39,35,9,17,39,153,39,93,39,28,39,167,20,40
Arusha,Arusha,Mlangarini,KISERIANI,S.5348,Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arusha,Arusha,Mlangarini,MLANGARINI,S.1040,Government,0,0,414,128,414,137,0,0,173,96,414,0,0,0,414,30,414,149,414,123,414,30,97,105
Arusha,Arusha,Mlangarini,MWEDO,S.4420,Non-Government,0,0,39,59,39,31,0,0,39,34,39,39,0,0,39,65,39,20,39,20,39,36,39,60
Arusha,Arusha,Mlangarini,SHEPHERDS,S.4601,Non-Government,0,0,30,20,30,30,0,0,30,15,30,20,0,0,30,63,30,21,30,20,30,67,30,24
Arusha,Arusha,Moivo,BISHOP DURNING,S.1676,Non-Government,0,0,25,24,25,20,4,7,9,13,25,20,4,7,25,30,25,20,25,23,25,33,9,8
Arusha,Arusha,Moivo,ENABOISHU,S.81,Non-Government,0,0,43,80,43,30,16,24,27,30,43,25,16,70,43,34,43,40,43,65,43,30,27,40
Arusha,Arusha,Moivo,ILBORU,S.24,Government,0,0,108,88,108,38,0,0,108,12,108,12,0,0,108,100,108,92,108,60,108,53,108,140
Arusha,Arusha,Musa,LIKAMBA,S.5349,Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arusha,Arusha,Musa,MUSA,S.2501,Government,0,0,77,70,77,40,0,0,22,40,77,5,0,0,77,40,77,33,77,25,77,22,22,35
Arusha,Arusha,Mwandet,LOSIKITO,S.5110,Government,0,0,104,3,104,2,0,0,35,2,104,1,0,0,104,1,104,2,104,2,104,1,35,1
Arusha,Arusha,Mwandet,MWANDET,S.1268,Government,0,0,237,3,237,4,0,0,147,60,237,11,0,0,237,201,237,135,237,131,237,5,134,0
Arusha,Arusha,Nduruma,NDURUMA,S.679,Government,0,0,161,120,161,35,0,0,35,30,161,9,0,0,161,30,161,38,161,45,161,30,35,27
